T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
22.65204,NaN,12.73656,NaN,12.71524,NaN,41.7506,NaN,38.7742,NaN,35.62128,NaN,36.5342,NaN,22.70344,NaN,26.1278,NaN
22.65516,NaN,12.75072,NaN,12.72408,NaN,41.75712,NaN,38.81964,NaN,38.66752,NaN,38.13276,NaN,22.71144,NaN,26.14936,NaN
22.6632,NaN,16.122,NaN,12.73488,NaN,41.76012,NaN,38.85936,NaN,38.67308,NaN,38.67512,NaN,22.71376,NaN,29.02348,NaN
22.66808,NaN,16.12668,NaN,12.73804,NaN,41.78064,NaN,38.91632,NaN,38.67612,NaN,38.6846,NaN,22.71748,NaN,29.02692,NaN
22.6738,NaN,16.13912,NaN,12.74348,NaN,41.8088,NaN,39.18224,NaN,38.68616,NaN,38.69132,NaN,22.72224,NaN,29.03328,NaN
22.67736,NaN,16.14164,NaN,12.74636,NaN,41.81104,NaN,41.6382,NaN,38.689,NaN,38.6938,NaN,22.72656,NaN,29.03628,NaN
22.6864,NaN,16.1468,NaN,12.761,NaN,41.8228,NaN,41.6444,NaN,38.69328,NaN,38.69816,NaN,22.72868,NaN,29.0442,NaN
22.69288,NaN,16.14976,NaN,12.76944,NaN,41.84636,NaN,41.65196,NaN,38.70012,NaN,38.70092,NaN,22.7404,NaN,29.04628,NaN
22.69524,NaN,16.15204,NaN,13.9246,NaN,41.86276,NaN,41.656,NaN,38.70772,NaN,38.70752,NaN,22.74256,NaN,29.05192,NaN
22.69856,NaN,16.15528,NaN,16.1164,NaN,45.27356,NaN,41.65936,NaN,38.71448,NaN,38.70968,NaN,22.74512,NaN,29.05632,NaN
22.70084,NaN,16.15912,NaN,16.13052,NaN,45.27728,NaN,41.6622,NaN,38.71808,NaN,38.71792,NaN,22.75252,NaN,29.06032,NaN
22.70436,NaN,16.16188,NaN,16.13512,NaN,45.2812,NaN,41.6648,NaN,38.72112,NaN,38.72768,NaN,22.76428,NaN,29.06376,NaN
22.7088,NaN,16.16656,NaN,16.13916,NaN,45.286,NaN,41.66744,NaN,38.72372,NaN,38.74164,NaN,22.76672,NaN,29.06876,NaN
22.7128,NaN,16.1688,NaN,16.1426,NaN,45.29036,NaN,41.67144,NaN,38.7296,NaN,38.74376,NaN,22.7834,NaN,29.07124,NaN
22.72232,NaN,16.17164,NaN,16.14692,NaN,45.29704,NaN,41.68196,NaN,38.73608,NaN,38.74768,NaN,22.78828,NaN,29.07796,NaN
22.73036,NaN,16.17416,NaN,16.14984,NaN,45.30124,NaN,41.6864,NaN,38.74124,NaN,38.75932,NaN,22.79052,NaN,29.08456,NaN
22.73472,NaN,16.17644,NaN,16.152,NaN,45.30524,NaN,41.69884,NaN,38.74852,NaN,38.76164,NaN,22.80792,NaN,29.09248,NaN
22.74944,NaN,16.18216,NaN,16.1546,NaN,45.30736,NaN,41.70772,NaN,38.75368,NaN,38.7862,NaN,22.85712,NaN,29.09536,NaN
22.7538,NaN,16.18456,NaN,16.15848,NaN,45.31412,NaN,41.71872,NaN,38.75856,NaN,38.79432,NaN,25.8348,NaN,29.10152,NaN
22.7568,NaN,16.18688,NaN,16.1616,NaN,45.31856,NaN,41.73388,NaN,38.76124,NaN,38.84348,NaN,25.9394,NaN,29.10536,NaN
22.76036,NaN,16.19024,NaN,16.16444,NaN,45.33856,NaN,41.7396,NaN,38.7644,NaN,38.90636,NaN,25.95656,NaN,29.11404,NaN
25.92628,NaN,16.195,NaN,16.16656,NaN,45.34184,NaN,41.74232,NaN,38.78528,NaN,38.9388,NaN,25.97828,NaN,29.12144,NaN
25.9692,NaN,16.19888,NaN,16.16984,NaN,45.34472,NaN,41.74584,NaN,38.8004,NaN,39.02724,NaN,25.9858,NaN,29.13388,NaN
25.97456,NaN,16.2016,NaN,16.17204,NaN,45.41208,NaN,41.75104,NaN,38.80384,NaN,39.17636,NaN,25.99728,NaN,29.14944,NaN
25.97816,NaN,16.20516,NaN,16.17428,NaN,45.42648,NaN,41.76384,NaN,38.83636,NaN,39.40936,NaN,26.00416,NaN,29.1526,NaN
25.98052,NaN,16.20788,NaN,16.1768,NaN,45.4486,NaN,41.76704,NaN,38.85948,NaN,39.58308,NaN,26.00724,NaN,29.16316,NaN
